"","IUCN_species_name","genus","species","common_name","order_e","family_e","diet_inv_e","diet_fruit_e","diet_cat_e","diet_breadth","min_body_size_mm","max_body_size_mm","body_size_mm","min_longevity","max_longevity","longevity","min_home_range","max_home_range","home_range_size","generation_time","IUCN_category"
"98","Pyrrhura melanura","Pyrrhura","melanura","Maroon-tailed Parakeet","Psittaciformes","Psittacidae",0,80,"FruiNect",0.500402424,240,250,250,NA,NA,NA,NA,NA,NA,6,"LC"
"99","Pyrrhura molinae","Pyrrhura","molinae","Green-cheeked Parakeet","Psittaciformes","Psittacidae",0,60,"FruiNect",0.950270539,NA,NA,260,NA,NA,NA,NA,NA,NA,6,"LC"
"100","Pyrrhura orcesi","Pyrrhura","orcesi","El Oro Parakeet","Psittaciformes","Psittacidae",0,100,"FruiNect",0,NA,NA,220,NA,NA,NA,NA,NA,NA,3.5,"EN"
"101","Pyrrhura pacifica","Pyrrhura","pacifica","Choco Parakeet","Psittaciformes","Psittacidae",0,80,"FruiNect",0.500402424,240,250,250,NA,NA,NA,NA,NA,NA,6,"LC"
"102","Pyrrhura parvifrons","Pyrrhura","parvifrons","Painted Parakeet","Psittaciformes","Psittacidae",0,50,"Omnivore",1.029653014,NA,NA,220,NA,NA,NA,NA,NA,NA,6,"LC"
"103","Pyrrhura perlata","Pyrrhura","perlata","Crimson-bellied Parakeet","Psittaciformes","Psittacidae",0,60,"FruiNect",0.673011667,NA,NA,240,NA,NA,14.3,NA,NA,NA,6,"VU"
"104","Pyrrhura peruviana","Pyrrhura","peruviana","Wavy-breasted Parakeet","Psittaciformes","Psittacidae",0,50,"Omnivore",1.029653014,NA,NA,220,NA,NA,NA,NA,NA,NA,6,"LC"
"105","Pyrrhura picta","Pyrrhura","picta","Painted Parakeet","Psittaciformes","Psittacidae",0,50,"Omnivore",1.029653014,220,230,230,NA,NA,NA,NA,NA,NA,6,"LC"
"106","Pyrrhura rhodocephala","Pyrrhura","rhodocephala","Rose-headed Parakeet","Psittaciformes","Psittacidae",0,60,"FruiNect",0.950270539,240,250,250,NA,NA,NA,NA,NA,NA,6,"LC"
"107","Pyrrhura roseifrons","Pyrrhura","roseifrons","Rose-fronted Parakeet","Psittaciformes","Psittacidae",0,50,"Omnivore",1.029653014,210,230,220,NA,NA,NA,NA,NA,NA,6,"LC"
"108","Pyrrhura rupicola","Pyrrhura","rupicola","Black-capped Parakeet","Psittaciformes","Psittacidae",0,60,"FruiNect",0.950270539,NA,NA,250,NA,NA,6.09,NA,NA,NA,2.6,"NT"
"109","Pyrrhura snethlageae","Pyrrhura","snethlageae","Madeira Parakeet","Psittaciformes","Psittacidae",0,50,"Omnivore",1.029653014,NA,NA,220,NA,NA,NA,NA,NA,NA,6,"VU"
"110","Pyrrhura subandina","Pyrrhura","subandina","Sinu Parakeet","Psittaciformes","Psittacidae",0,50,"Omnivore",1.029653014,NA,NA,210,NA,NA,NA,NA,NA,NA,6,"CR"
"111","Pyrrhura viridicata","Pyrrhura","viridicata","Santa Marta Parakeet","Psittaciformes","Psittacidae",0,60,"FruiNect",0.950270539,NA,NA,250,NA,NA,NA,NA,NA,NA,6,"EN"
"112","Rhynchopsitta pachyrhyncha","Rhynchopsitta","pachyrhyncha","Thick-billed Parrot","Psittaciformes","Psittacidae",0,20,"PlantSeed",0.500402424,380,430,430,NA,NA,33,NA,NA,NA,11.1,"EN"
"113","Touit batavicus","Touit","batavicus","Lilac-tailed Parrotlet","Psittaciformes","Psittacidae",0,30,"Omnivore",1.366158848,NA,NA,140,NA,NA,NA,NA,NA,NA,5,"LC"
"114","Touit costaricensis","Touit","costaricensis","Red-fronted Parrotlet","Psittaciformes","Psittacidae",0,100,"FruiNect",0,NA,NA,170,NA,NA,NA,NA,NA,NA,5,"VU"
"115","Touit dilectissimus","Touit","dilectissimus","Blue-fronted Parrotlet","Psittaciformes","Psittacidae",0,100,"FruiNect",0,170,180,180,NA,NA,NA,NA,NA,NA,5,"LC"
"116","Touit huetii","Touit","huetii","Scarlet-shouldered Parrotlet","Psittaciformes","Psittacidae",0,90,"FruiNect",0.325082973,150,160,160,NA,NA,NA,NA,NA,NA,5,"VU"
"117","Touit purpuratus","Touit","purpuratus","Sapphire-rumped Parrotlet","Psittaciformes","Psittacidae",0,100,"FruiNect",0,170,180,180,NA,NA,NA,NA,NA,NA,5,"LC"
"118","Touit stictopterus","Touit","stictopterus","Spot-winged Parrotlet","Psittaciformes","Psittacidae",0,50,"Omnivore",0.693147181,170,180,180,NA,NA,NA,NA,NA,NA,5,"VU"
